,DHI
2023-01-01 00:00:00+07:00,0.0
2023-01-01 01:00:00+07:00,0.0
2023-01-01 02:00:00+07:00,0.0
2023-01-01 03:00:00+07:00,0.0
2023-01-01 04:00:00+07:00,0.0
2023-01-01 05:00:00+07:00,0.0
2023-01-01 06:00:00+07:00,2.53
2023-01-01 07:00:00+07:00,51.36
2023-01-01 08:00:00+07:00,96.15
2023-01-01 09:00:00+07:00,122.98
2023-01-01 10:00:00+07:00,136.42
2023-01-01 11:00:00+07:00,154.39
2023-01-01 12:00:00+07:00,147.13
2023-01-01 13:00:00+07:00,172.66
2023-01-01 14:00:00+07:00,190.75
2023-01-01 15:00:00+07:00,116.5
2023-01-01 16:00:00+07:00,81.03
2023-01-01 17:00:00+07:00,41.26
2023-01-01 18:00:00+07:00,0.0
2023-01-01 19:00:00+07:00,0.0
2023-01-01 20:00:00+07:00,0.0
2023-01-01 21:00:00+07:00,0.0
2023-01-01 22:00:00+07:00,0.0
2023-01-01 23:00:00+07:00,0.0
2023-01-02 00:00:00+07:00,0.0
2023-01-02 01:00:00+07:00,0.0
2023-01-02 02:00:00+07:00,0.0
2023-01-02 03:00:00+07:00,0.0
2023-01-02 04:00:00+07:00,0.0
2023-01-02 05:00:00+07:00,0.0
2023-01-02 06:00:00+07:00,0.0
2023-01-02 07:00:00+07:00,53.16
2023-01-02 08:00:00+07:00,115.58
2023-01-02 09:00:00+07:00,163.85
2023-01-02 10:00:00+07:00,243.27
2023-01-02 11:00:00+07:00,319.95
2023-01-02 12:00:00+07:00,278.92
2023-01-02 13:00:00+07:00,307.41
2023-01-02 14:00:00+07:00,346.76
2023-01-02 15:00:00+07:00,276.99
2023-01-02 16:00:00+07:00,184.06
2023-01-02 17:00:00+07:00,52.49
2023-01-02 18:00:00+07:00,0.0
2023-01-02 19:00:00+07:00,0.0
2023-01-02 20:00:00+07:00,0.0
2023-01-02 21:00:00+07:00,0.0
2023-01-02 22:00:00+07:00,0.0
2023-01-02 23:00:00+07:00,0.0
2023-01-03 00:00:00+07:00,0.0
2023-01-03 01:00:00+07:00,0.0136.42
2023-01-01 11:00:00+07:00,154.39
2023-01-01 12:00:00+07:00,147.13
2023-01-01 13:00:00+07:00,172.66
2023-01-01 14:00:00+07:00,190.75
2023-01-01 15:00:00+07:00,116.5
2023-01-01 16:00:00+07:00,81.03
2023-01-01 17:00:00+07:00,41.26
2023-01-03 02:00:00+07:00,0.0
2023-01-03 03:00:00+07:00,0.0
2023-01-03 04:00:00+07:00,0.0
2023-01-03 05:00:00+07:00,0.0
2023-01-03 06:00:00+07:00,0.0
2023-01-03 07:00:00+07:00,61.13
2023-01-03 08:00:00+07:00,142.17
2023-01-03 09:00:00+07:00,235.07
2023-01-03 10:00:00+07:00,243.44
2023-01-03 11:00:00+07:00,211.99
2023-01-03 12:00:00+07:00,260.32
2023-01-03 13:00:00+07:00,173.42
2023-01-03 14:00:00+07:00,216.96
2023-01-03 15:00:00+07:00,178.79
2023-01-03 16:00:00+07:00,75.75
2023-01-03 17:00:00+07:00,29.1
2023-01-03 18:00:00+07:00,0.0
2023-01-03 19:00:00+07:00,0.0
2023-01-03 20:00:00+07:00,0.0
2023-01-03 21:00:00+07:00,0.0
2023-01-03 22:00:00+07:00,0.0
2023-01-03 23:00:00+07:00,0.0
2023-01-04 00:00:00+07:00,0.0
2023-01-04 01:00:00+07:00,0.0
2023-01-04 02:00:00+07:00,0.0
2023-01-04 03:00:00+07:00,0.0
2023-01-04 04:00:00+07:00,0.0
2023-01-04 05:00:00+07:00,0.0
2023-01-04 06:00:00+07:00,0.0
2023-01-04 07:00:00+07:00,73.72
2023-01-04 08:00:00+07:00,167.32
2023-01-04 09:00:00+07:00,263.94
2023-01-04 10:00:00+07:00,233.28
2023-01-04 11:00:00+07:00,167.89
2023-01-04 12:00:00+07:00,122.76
2023-01-04 13:00:00+07:00,117.86
2023-01-04 14:00:00+07:00,134.44
2023-01-04 15:00:00+07:00,123.71
2023-01-04 16:00:00+07:00,97.85
2023-01-04 17:00:00+07:00,49.61
2023-01-04 18:00:00+07:00,0.0
2023-01-04 19:00:00+07:00,0.0
2023-01-04 20:00:00+07:00,0.0
2023-01-04 21:00:00+07:00,0.0
2023-01-04 22:00:00+07:00,0.0
2023-01-04 23:00:00+07:00,0.0
2023-01-05 00:00:00+07:00,0.0
2023-01-05 01:00:00+07:00,0.0
2023-01-05 02:00:00+07:00,0.0
2023-01-05 03:00:00+07:00,0.0
2023-01-05 04:00:00+07:00,0.0
2023-01-05 05:00:00+07:00,0.0
2023-01-05 06:00:00+07:00,0.0
2023-01-05 07:00:00+07:00,57.75
2023-01-05 08:00:00+07:00,114.09
2023-01-05 09:00:00+07:00,168.0
2023-01-05 10:00:00+07:00,267.67
2023-01-05 11:00:00+07:00,282.97
2023-01-05 12:00:00+07:00,235.86
2023-01-05 13:00:00+07:00,225.3
2023-01-05 14:00:00+07:00,238.05
2023-01-05 15:00:00+07:00,174.78
2023-01-05 16:00:00+07:00,146.12
2023-01-05 17:00:00+07:00,55.3
2023-01-05 18:00:00+07:00,0.0
2023-01-05 19:00:00+07:00,0.0
2023-01-05 20:00:00+07:00,0.0
2023-01-05 21:00:00+07:00,0.0
2023-01-05 22:00:00+07:00,0.0
2023-01-05 23:00:00+07:00,0.0
2023-01-06 00:00:00+07:00,0.0
2023-01-06 01:00:00+07:00,0.0
2023-01-06 02:00:00+07:00,0.0
2023-01-06 03:00:00+07:00,0.0
2023-01-06 04:00:00+07:00,0.0
2023-01-06 05:00:00+07:00,0.0
2023-01-06 06:00:00+07:00,0.0
2023-01-06 07:00:00+07:00,74.55
2023-01-06 08:00:00+07:00,142.35
2023-01-06 09:00:00+07:00,190.73
2023-01-06 10:00:00+07:00,323.5
2023-01-06 11:00:00+07:00,289.17
2023-01-06 12:00:00+07:00,250.7
2023-01-06 13:00:00+07:00,227.88
2023-01-06 14:00:00+07:00,164.52
2023-01-06 15:00:00+07:00,160.06
2023-01-06 16:00:00+07:00,103.85
2023-01-06 17:00:00+07:00,36.4
2023-01-06 18:00:00+07:00,0.0
