,GHI
2023-01-01 00:00:00+07:00,0.0
2023-01-01 01:00:00+07:00,0.0
2023-01-01 02:00:00+07:00,0.0
2023-01-01 03:00:00+07:00,0.0
2023-01-01 04:00:00+07:00,0.0
2023-01-01 05:00:00+07:00,0.0
2023-01-01 06:00:00+07:00,2.65
2023-01-01 07:00:00+07:00,116.22
2023-01-01 08:00:00+07:00,339.48
2023-01-01 09:00:00+07:00,549.47
2023-01-01 10:00:00+07:00,715.72
2023-01-01 11:00:00+07:00,812.95
2023-01-01 12:00:00+07:00,833.95
2023-01-01 13:00:00+07:00,788.85
2023-01-01 14:00:00+07:00,669.45
2023-01-01 15:00:00+07:00,492.25
2023-01-01 16:00:00+07:00,265.2
2023-01-01 17:00:00+07:00,57.35
2023-01-01 18:00:00+07:00,0.0
2023-01-01 19:00:00+07:00,0.0
2023-01-01 20:00:00+07:00,0.0
2023-01-01 21:00:00+07:00,0.0
2023-01-01 22:00:00+07:00,0.0
2023-01-01 23:00:00+07:00,0.0
2023-01-02 00:00:00+07:00,0.0
2023-01-02 01:00:00+07:00,0.0
2023-01-02 02:00:00+07:00,0.0
2023-01-02 03:00:00+07:00,0.0
2023-01-02 04:00:00+07:00,0.0
2023-01-02 05:00:00+07:00,0.0
2023-01-02 06:00:00+07:00,0.0
2023-01-02 07:00:00+07:00,82.62
2023-01-02 08:00:00+07:00,249.3
2023-01-02 09:00:00+07:00,442.5
2023-01-02 10:00:00+07:00,526.78
2023-01-02 11:00:00+07:00,707.3
2023-01-02 12:00:00+07:00,736.38
2023-01-02 13:00:00+07:00,657.83
2023-01-02 14:00:00+07:00,502.95
2023-01-02 15:00:00+07:00,352.2
2023-01-02 16:00:00+07:00,187.35
2023-01-02 17:00:00+07:00,45.1
2023-01-02 18:00:00+07:00,0.0
2023-01-02 19:00:00+07:00,0.0
2023-01-02 20:00:00+07:00,0.0
2023-01-02 21:00:00+07:00,0.0
2023-01-02 22:00:00+07:00,0.0
2023-01-02 23:00:00+07:00,0.0
2023-01-03 00:00:00+07:00,0.0
2023-01-03 01:00:00+07:00,0.0
2023-01-03 02:00:00+07:00,0.0
2023-01-03 03:00:00+07:00,0.0
2023-01-03 04:00:00+07:00,0.0
2023-01-03 05:00:00+07:00,0.0
2023-01-03 06:00:00+07:00,0.0
2023-01-03 07:00:00+07:00,83.62
2023-01-03 08:00:00+07:00,271.3
2023-01-03 09:00:00+07:00,475.17
2023-01-03 10:00:00+07:00,673.9
2023-01-03 11:00:00+07:00,659.55
2023-01-03 12:00:00+07:00,795.35
2023-01-03 13:00:00+07:00,682.8
2023-01-03 14:00:00+07:00,515.42
2023-01-03 15:00:00+07:00,357.4
2023-01-03 16:00:00+07:00,160.32
2023-01-03 17:00:00+07:00,34.65
2023-01-03 18:00:00+07:00,0.0
2023-01-03 19:00:00+07:00,0.0
2023-01-03 20:00:00+07:00,0.0
2023-01-03 21:00:00+07:00,0.0
2023-01-03 22:00:00+07:00,0.0
2023-01-03 23:00:00+07:00,0.0
2023-01-04 00:00:00+07:00,0.0
2023-01-04 01:00:00+07:00,0.0
2023-01-04 02:00:00+07:00,0.0
2023-01-04 03:00:00+07:00,0.0
2023-01-04 04:00:00+07:00,0.0
2023-01-04 05:00:00+07:00,0.0
2023-01-04 06:00:00+07:00,0.0
2023-01-04 07:00:00+07:00,86.5
2023-01-04 08:00:00+07:00,237.38
2023-01-04 09:00:00+07:00,407.42
2023-01-04 10:00:00+07:00,665.33
2023-01-04 11:00:00+07:00,787.83
2023-01-04 12:00:00+07:00,830.85
2023-01-04 13:00:00+07:00,788.72
2023-01-04 14:00:00+07:00,663.88
2023-01-04 15:00:00+07:00,482.3
2023-01-04 16:00:00+07:00,268.1
2023-01-04 17:00:00+07:00,60.6
2023-01-04 18:00:00+07:00,0.0
2023-01-04 19:00:00+07:00,0.0
2023-01-04 20:00:00+07:00,0.0
2023-01-04 21:00:00+07:00,0.0
2023-01-04 22:00:00+07:00,0.0
2023-01-04 23:00:00+07:00,0.0
2023-01-05 00:00:00+07:00,0.0
2023-01-05 01:00:00+07:00,0.0
2023-01-05 02:00:00+07:00,0.0
2023-01-05 03:00:00+07:00,0.0
2023-01-05 04:00:00+07:00,0.0
2023-01-05 05:00:00+07:00,0.0
2023-01-05 06:00:00+07:00,0.0
2023-01-05 07:00:00+07:00,103.53
2023-01-05 08:00:00+07:00,310.12
2023-01-05 09:00:00+07:00,518.97
2023-01-05 10:00:00+07:00,639.65
2023-01-05 11:00:00+07:00,732.15
2023-01-05 12:00:00+07:00,770.6
2023-01-05 13:00:00+07:00,757.8
2023-01-05 14:00:00+07:00,630.72
2023-01-05 15:00:00+07:00,444.45
2023-01-05 16:00:00+07:00,235.3
2023-01-05 17:00:00+07:00,55.28
2023-01-05 18:00:00+07:00,0.0
2023-01-05 19:00:00+07:00,0.0
2023-01-05 20:00:00+07:00,0.0
2023-01-05 21:00:00+07:00,0.0
2023-01-05 22:00:00+07:00,0.0
2023-01-05 23:00:00+07:00,0.0
2023-01-06 00:00:00+07:00,0.0
2023-01-06 01:00:00+07:00,0.0
2023-01-06 02:00:00+07:00,0.0
2023-01-06 03:00:00+07:00,0.0
2023-01-06 04:00:00+07:00,0.0
2023-01-06 05:00:00+07:00,0.0
2023-01-06 06:00:00+07:00,0.0
2023-01-06 07:00:00+07:00,97.68
2023-01-06 08:00:00+07:00,296.65
2023-01-06 09:00:00+07:00,502.17
2023-01-06 10:00:00+07:00,640.3
2023-01-06 11:00:00+07:00,766.53
2023-01-06 12:00:00+07:00,766.22
2023-01-06 13:00:00+07:00,631.95
2023-01-06 14:00:00+07:00,461.33
2023-01-06 15:00:00+07:00,365.62
2023-01-06 16:00:00+07:00,198.68
2023-01-06 17:00:00+07:00,49.08
2023-01-06 18:00:00+07:00,0.0
2023-01-06 19:00:00+07:00,0.0
2023-01-06 20:00:00+07:00,0.0
2023-01-06 21:00:00+07:00,0.0
2023-01-06 22:00:00+07:00,0.0
2023-01-06 23:00:00+07:00,0.0
2023-01-07 00:00:00+07:00,0.0
2023-01-07 01:00:00+07:00,0.0
