,relative_airmass
2023-01-01 00:00:00+07:00,
2023-01-01 01:00:00+07:00,
2023-01-01 02:00:00+07:00,
2023-01-01 03:00:00+07:00,
2023-01-01 04:00:00+07:00,
2023-01-01 05:00:00+07:00,
2023-01-01 06:00:00+07:00,
2023-01-01 07:00:00+07:00,13.561401156293014
2023-01-01 08:00:00+07:00,3.5154340809949662
2023-01-01 09:00:00+07:00,2.0840247076025835
2023-01-01 10:00:00+07:00,1.5682461359262598
2023-01-01 11:00:00+07:00,1.3401129468427742
2023-01-01 12:00:00+07:00,1.253337484975465
2023-01-01 13:00:00+07:00,1.2673239060014934
2023-01-01 14:00:00+07:00,1.3881266297715136
2023-01-01 15:00:00+07:00,1.6760822463543943
2023-01-01 16:00:00+07:00,2.3445306972983606
2023-01-01 17:00:00+07:00,4.479293008573884
2023-01-01 18:00:00+07:00,37.91870584119297
2023-01-01 19:00:00+07:00,
2023-01-01 20:00:00+07:00,
2023-01-01 21:00:00+07:00,
2023-01-01 22:00:00+07:00,
2023-01-01 23:00:00+07:00,
2023-01-02 00:00:00+07:00,
2023-01-02 01:00:00+07:00,
2023-01-02 02:00:00+07:00,
2023-01-02 03:00:00+07:00,
2023-01-02 04:00:00+07:00,
2023-01-02 05:00:00+07:00,
2023-01-02 06:00:00+07:00,
2023-01-02 07:00:00+07:00,13.78369822147452
2023-01-02 08:00:00+07:00,3.5291920553825813
2023-01-02 09:00:00+07:00,2.0872525980150383
2023-01-02 10:00:00+07:00,1.568964850479324
2023-01-02 11:00:00+07:00,1.3397519773782838
2023-01-02 12:00:00+07:00,1.2522355015100721
2023-01-02 13:00:00+07:00,1.265436744038656
2023-01-02 14:00:00+07:00,1.3850655203073883
2023-01-02 15:00:00+07:00,1.6707096868534945
2023-01-02 16:00:00+07:00,2.3328841190897873
2023-01-02 17:00:00+07:00,4.436016663718675
2023-01-02 18:00:00+07:00,36.418587085305845
2023-01-02 19:00:00+07:00,
2023-01-02 20:00:00+07:00,
2023-01-02 21:00:00+07:00,
2023-01-02 22:00:00+07:00,
2023-01-02 23:00:00+07:00,
2023-01-03 00:00:00+07:00,
2023-01-03 01:00:00+07:00,
2023-01-03 02:00:00+07:00,
2023-01-03 03:00:00+07:00,
2023-01-03 04:00:00+07:00,
2023-01-03 05:00:00+07:00,
2023-01-03 06:00:00+07:00,
2023-01-03 07:00:00+07:00,14.00445433858137
2023-01-03 08:00:00+07:00,3.54218556503803
2023-01-03 09:00:00+07:00,2.0901575488724347
2023-01-03 10:00:00+07:00,1.569491169965161
2023-01-03 11:00:00+07:00,1.339251533988325
2023-01-03 12:00:00+07:00,1.2510184572257028
2023-01-03 13:00:00+07:00,1.2634457976581466
2023-01-03 14:00:00+07:00,1.3819052457446197
2023-01-03 15:00:00+07:00,1.6652422867432637
2023-01-03 16:00:00+07:00,2.321180393243182
2023-01-03 17:00:00+07:00,4.39320199682746
2023-01-03 18:00:00+07:00,34.97735560603869
2023-01-03 19:00:00+07:00,
2023-01-03 20:00:00+07:00,
2023-01-03 21:00:00+07:00,
2023-01-03 22:00:00+07:00,
2023-01-03 23:00:00+07:00,
2023-01-04 00:00:00+07:00,
2023-01-04 01:00:00+07:00,
2023-01-04 02:00:00+07:00,
2023-01-04 03:00:00+07:00,
2023-01-04 04:00:00+07:00,
2023-01-04 05:00:00+07:00,
2023-01-04 06:00:00+07:00,
2023-01-04 07:00:00+07:00,14.217514789627112
2023-01-04 08:00:00+07:00,3.554454425899084
2023-01-04 09:00:00+07:00,2.092762196850201
2023-01-04 10:00:00+07:00,1.5698320101663084
2023-01-04 11:00:00+07:00,1.3386137633759303
2023-01-04 12:00:00+07:00,1.2496875372170875
2023-01-04 13:00:00+07:00,1.26135203072774
2023-01-04 14:00:00+07:00,1.3786453199321045
2023-01-04 15:00:00+07:00,1.659673719300926
2023-01-04 16:00:00+07:00,2.3093880612795172
2023-01-04 17:00:00+07:00,4.350658244783555
2023-01-04 18:00:00+07:00,33.57004225917873
2023-01-04 19:00:00+07:00,
2023-01-04 20:00:00+07:00,
2023-01-04 21:00:00+07:00,
2023-01-04 22:00:00+07:00,
2023-01-04 23:00:00+07:00,
2023-01-05 00:00:00+07:00,
2023-01-05 01:00:00+07:00,
2023-01-05 02:00:00+07:00,
2023-01-05 03:00:00+07:00,
2023-01-05 04:00:00+07:00,
2023-01-05 05:00:00+07:00,
2023-01-05 06:00:00+07:00,
2023-01-05 07:00:00+07:00,14.432199835574629
2023-01-05 08:00:00+07:00,3.566028887338813
2023-01-05 09:00:00+07:00,2.095054890865759
2023-01-05 10:00:00+07:00,1.5699824643769011
2023-01-05 11:00:00+07:00,1.3378374076753687
2023-01-05 12:00:00+07:00,1.2482434610831092
2023-01-05 13:00:00+07:00,1.259157401930912
2023-01-05 14:00:00+07:00,1.3752887938086877
2023-01-05 15:00:00+07:00,1.6540096786528646
2023-01-05 16:00:00+07:00,2.29752070881921
2023-01-05 17:00:00+07:00,4.30847472195165
2023-01-05 18:00:00+07:00,32.220702678139695
2023-01-05 19:00:00+07:00,
2023-01-05 20:00:00+07:00,
2023-01-05 21:00:00+07:00,
2023-01-05 22:00:00+07:00,
2023-01-05 23:00:00+07:00,
2023-01-06 00:00:00+07:00,
2023-01-06 01:00:00+07:00,
2023-01-06 02:00:00+07:00,
2023-01-06 03:00:00+07:00,
2023-01-06 04:00:00+07:00,
2023-01-06 05:00:00+07:00,
2023-01-06 06:00:00+07:00,
2023-01-06 07:00:00+07:00,14.636480643223239
2023-01-06 08:00:00+07:00,3.5766943453801963
2023-01-06 09:00:00+07:00,2.0970038281244583
2023-01-06 10:00:00+07:00,1.5699364533968605
2023-01-06 11:00:00+07:00,1.3369232029160416
2023-01-06 12:00:00+07:00,1.2466893233753726
2023-01-06 13:00:00+07:00,1.2568666945471467
2023-01-06 14:00:00+07:00,1.371843562877098
2023-01-06 15:00:00+07:00,1.6482633131509032
2023-01-06 16:00:00+07:00,2.2856041592530953
2023-01-06 17:00:00+07:00,4.266703356590554
2023-01-06 18:00:00+07:00,30.929332145653703
2023-01-06 19:00:00+07:00,
2023-01-06 20:00:00+07:00,
2023-01-06 21:00:00+07:00,
2023-01-06 22:00:00+07:00,
2023-01-06 23:00:00+07:00,
2023-01-07 00:00:00+07:00,
2023-01-07 01:00:00+07:00,
2023-01-07 02:00:00+07:00,
2023-01-07 03:00:00+07:00,
2023-01-07 04:00:00+07:00,
2023-01-07 05:00:00+07:00,
2023-01-07 06:00:00+07:00,
2023-01-07 07:00:00+07:00,14.829289801130583
2023-01-07 08:00:00+07:00,3.5864906238916308
2023-01-07 09:00:00+07:00,2.0986212795588703
2023-01-07 10:00:00+07:00,1.5696984237546323
2023-01-07 11:00:00+07:00,1.3358733699715555
2023-01-07 12:00:00+07:00,1.2450268656277828
2023-01-07 13:00:00+07:00,1.2544818856228108
2023-01-07 14:00:00+07:00,1.3683121198172734
2023-01-07 15:00:00+07:00,1.6424405140513019
2023-01-07 16:00:00+07:00,2.2736583808007254
2023-01-07 17:00:00+07:00,4.22543123958371
2023-01-07 18:00:00+07:00,29.699690743329096
2023-01-07 19:00:00+07:00,
2023-01-07 20:00:00+07:00,
2023-01-07 21:00:00+07:00,
2023-01-07 22:00:00+07:00,
2023-01-07 23:00:00+07:00,
2023-01-08 00:00:00+07:00,
2023-01-08 01:00:00+07:00,
2023-01-08 02:00:00+07:00,
2023-01-08 03:00:00+07:00,
2023-01-08 04:00:00+07:00,
2023-01-08 05:00:00+07:00,
2023-01-08 06:00:00+07:00,
